speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,brakeTorque
76.13876686,0.276161994,5.7,9.677677969,4.179607956,1,12,15892.27686,17.98788059,40.14492668,888.6220941,444.311047,0,68.60968216,0,46.2205926,1,95.81857593,1.64,1.74,6.263433621,4.840205334,1.185320062,6.168914776,0.218733212,0,2899.672094,0
76.20982809,0.280890203,5.8,9.80364308,4.174779408,1,12,15907.10931,17.98646618,40.17923484,890.2815915,445.1407958,0,68.54858784,0,45.71192082,1,95.81857593,1.64,1.74,6.40148953,4.894951006,1.212499994,6.274275834,0.228786583,0,2901.331592,0
76.28074104,0.285614003,5.9,9.932421787,4.169956943,1,12,15921.91082,17.98505473,40.21346554,891.9391696,445.9695848,0,68.48755689,0,45.20324904,1,95.81857593,1.64,1.74,6.540984461,4.950913594,1.240608882,6.379514772,0.239084246,0,2902.98917,0
76.35150625,0.290333412,6,10.06411018,4.165140552,1,12,15936.68148,17.98364622,40.24761907,893.5948309,446.7974154,0,68.42658925,0,44.69457726,1,95.81857593,1.64,1.74,6.681951004,5.008134724,1.269689274,6.484630741,0.249628309,0,2904.644831,0
76.42212421,0.295048447,6.1,10.19880878,4.160330222,1,12,15951.42142,17.98224064,40.28169571,895.2485777,447.6242889,0,68.36568487,0,44.18590548,1,95.81857593,1.64,1.74,6.824422865,5.06665794,1.299786182,6.58962287,0.260420929,0,2906.298578,0
76.49259545,0.299759124,6.2,10.33662279,4.155525944,1,12,15966.13072,17.98083797,40.31569575,896.9004125,448.4502063,0,68.30484367,0,43.67723371,1,95.81857593,1.64,1.74,6.968434922,5.137672791,1.578681066,6.694490262,0.271464314,0,2907.950413,0
76.56292046,0.304465462,6.3,10.47766236,4.150727708,1,12,15980.80951,17.97943822,40.34961947,898.5503378,449.2751689,0,68.24406562,0,43.16856193,1,95.81857593,1.64,1.74,7.114023279,5.189324186,1.149284547,6.799231999,0.282760723,0,2909.600338,0
76.63309977,0.309167477,6.4,10.62204291,4.145935504,1,12,15995.45788,17.97804137,40.38346714,900.1983558,450.0991779,0,68.18335063,0,42.65989015,1,95.81857593,1.64,1.74,7.262168505,5.248277663,1.312967672,6.903847133,0.294312472,0,2911.248356,0
76.70313386,0.313865186,6.5,10.68799444,4.141149322,1,12,16010.07594,17.97664741,40.41723906,901.8444691,450.9222346,0,68.12269868,0,42.47417928,1,95.81857593,1.64,1.74,7.410838157,5.285777956,0.835943978,7.008394256,0.306130404,0,2912.894469,0
76.77302324,0.318558606,6.6,10.76169415,4.136369152,1,12,16024.6638,17.97525634,40.45093549,903.48868,451.74434,0,68.06210968,0,42.26020887,1,95.81857593,1.64,1.74,7.560212338,5.318365151,0.727086705,7.112867357,0.318214599,0,2914.53868,0
76.8427684,0.323247753,6.7,10.83612122,4.131594986,1,12,16039.22155,17.97386814,40.48455671,905.130991,452.5654955,0,68.00158358,0,42.04623847,1,95.81857593,1.64,1.74,7.710298197,5.349510799,0.695556042,7.217265609,0.330566035,0,2916.180991,0
76.91236985,0.327932644,6.8,10.91128684,4.126826811,1,12,16053.74931,17.97248279,40.51810299,906.7714044,453.3857022,0,67.94112033,0,41.83226806,1,95.81857593,1.64,1.74,7.861102993,5.380375124,0.689899631,7.321588173,0.3431857,0,2917.821404,0
76.98182806,0.332613296,6.9,10.98720244,4.122064618,1,12,16068.24717,17.9711003,40.5515746,908.4099226,454.2049613,0,67.88071986,0,41.61829765,1,95.81857593,1.64,1.74,8.012634094,5.411347974,0.692952508,7.425834202,0.35607459,0,2919.459923,0
77.05114353,0.337289724,7,11.06387965,4.117308397,1,12,16082.71523,17.96972065,40.58497181,910.0465481,455.0232741,0,67.82038211,0,41.40432725,1,95.81857593,1.64,1.74,8.164898983,5.442562463,0.698989373,7.530002835,0.369233712,0,2921.096548,0
77.12031674,0.341961945,7.1,11.14133039,4.112558139,1,12,16097.1536,17.96834383,40.6182949,911.6812832,455.8406416,0,67.76010702,0,41.19035684,1,95.81857593,1.64,1.74,8.317905259,5.474066198,0.706101699,7.634093203,0.382664079,0,2922.731283,0
77.18934819,0.346629976,7.2,11.21956681,4.107813833,1,12,16111.56238,17.96696983,40.65154412,913.3141302,456.6570651,0,67.69989455,0,40.97638643,1,95.81857593,1.64,1.74,8.471660639,5.505878349,0.713654413,7.738104427,0.396366714,0,2924.36413,0
77.25823834,0.351293832,7.3,11.29860129,4.10307547,1,12,16125.94167,17.96559865,40.68471975,914.9450917,457.4725458,0,67.63974462,0,40.76241602,1,95.81857593,1.64,1.74,8.626172962,5.538008676,0.721437364,7.842035612,0.41034265,0,2925.995092,0
77.32698767,0.355953529,7.4,11.37844651,4.098343041,1,12,16140.29157,17.96423027,40.71782204,916.5741698,458.2870849,0,67.57965718,0,40.54844562,1,95.81857593,1.64,1.74,8.78145019,5.570463873,0.729382209,7.945885858,0.424592928,0,2927.62417,0
77.39559667,0.360609084,7.5,11.4591154,4.093616535,1,12,16154.61218,17.96286468,40.75085127,918.2013671,459.1006835,0,67.51963218,0,40.33447521,1,95.81857593,1.64,1.74,8.93750041,5.603249686,0.737467975,8.049654248,0.439118599,0,2929.251367,0
77.4640658,0.365260511,7.6,11.54062117,4.088895943,1,12,16168.90359,17.96150188,40.78380768,919.8266858,459.9133429,0,67.45966954,0,40.1205048,1,95.81857593,1.64,1.74,9.09433184,5.636371619,0.74568953,8.153339857,0.453920723,0,2930.876686,0
77.53239553,0.369907827,7.7,11.62297731,4.084181254,1,12,16183.1659,17.96014185,40.81669155,921.4501284,460.7250642,0,67.39976922,0,39.90653439,1,95.81857593,1.64,1.74,9.251952827,5.669835173,0.754047087,8.256941745,0.46900037,0,2932.500128,0
77.60058634,0.374551048,7.8,11.70619759,4.07947246,1,12,16197.39922,17.95878459,40.84950312,923.0716972,461.5358486,0,67.33993116,0,39.69256399,1,95.81857593,1.64,1.74,9.410371855,5.703645926,0.762542691,8.360458962,0.484358621,0,2934.121697,0
77.66863867,0.379190188,7.9,11.79029611,4.07476955,1,12,16211.60363,17.95743008,40.88224267,924.6913945,462.3456973,0,67.28015529,0,39.47859358,1,95.81857593,1.64,1.74,9.569597542,5.737809563,0.77117905,8.463890546,0.499996563,0,2935.741395,0
77.73655301,0.383825263,8,11.87528724,4.070072517,1,12,16225.77924,17.95607833,40.91491044,926.3092228,463.1546114,0,67.22044157,0,39.26462317,1,95.81857593,1.64,1.74,9.729638649,5.772331889,0.779959152,8.56723552,0.515915296,0,2937.359223,0
77.8043298,0.388456289,8.1,11.9611857,4.065381349,1,12,16239.92614,17.95472931,40.94750668,927.9251842,463.9625921,0,67.16078993,0,39.05065276,1,95.81857593,1.64,1.74,9.89050408,5.807218833,0.788886137,8.670492896,0.532115931,0,2938.975184,0
77.87196951,0.393083281,8.2,12.0480065,4.060696038,1,12,16254.04443,17.95338302,40.98003165,929.5392813,464.7696406,0,67.10120031,0,38.83668236,1,95.81857593,1.64,1.74,10.05220288,5.842476454,0.797963246,8.773661672,0.548599587,0,2940.589281,0
77.93947258,0.397706254,8.3,12.13576501,4.056016573,1,12,16268.1342,17.95203945,41.0124856,931.1515163,465.5757581,0,67.04167265,0,38.62271195,1,95.81857593,1.64,1.74,10.21474426,5.878110945,0.807193832,8.876740833,0.565367394,0,2942.201516,0
78.00683948,0.402325223,8.4,12.22447694,4.051342946,1,12,16282.19554,17.95069859,41.04486877,932.7618915,466.3809458,0,66.9822069,0,38.40874154,1,95.81857593,1.64,1.74,10.37813756,5.914128636,0.816581327,8.979729351,0.582420493,0,2943.811892,0
78.07407065,0.406940203,8.5,12.31415833,4.046675146,1,12,16296.22855,17.94936043,41.07718142,934.3704093,467.1852047,0,66.922803,0,38.19477113,1,95.81857593,1.64,1.74,10.54239229,5.950535998,0.826129276,9.082626183,0.599760034,0,2945.420409,0
78.14116654,0.411551209,8.6,12.40482559,4.042013164,1,12,16310.23333,17.94802497,41.10942381,935.9770721,467.988536,0,66.86346089,0,37.98080073,1,95.81857593,1.64,1.74,10.70751813,5.987339648,0.835841313,9.185430273,0.617387181,0,2947.027072,0
78.20812759,0.416158255,8.7,12.49649553,4.037356993,1,12,16324.20996,17.94669219,41.14159616,937.5818821,468.790941,0,66.80418052,0,37.76683032,1,95.81857593,1.64,1.74,10.8735249,6.024546352,0.845721178,9.28814055,0.635303107,0,2948.631882,0
78.27495425,0.420761357,8.8,12.58918531,4.032706622,1,12,16338.15854,17.94536209,41.17369873,939.1848416,469.5924208,0,66.74496181,0,37.55285991,1,95.81857593,1.64,1.74,11.04042261,6.062163029,0.855772728,9.390755928,0.653508995,0,2950.234842,0
78.34164695,0.42536053,8.9,12.68291248,4.028062041,1,12,16352.07916,17.94403465,41.20573175,940.785953,470.3929765,0,66.68580473,0,37.3388895,1,95.81857593,1.64,1.74,11.20822141,6.100196759,0.865999914,9.493275307,0.672006042,0,2951.835953,0
