speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,kW,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
72.0344207062781,0.291354907099686,5.7,8.66242774419394,3.25511810777539,1,14.3,17917.4063423786,16.1585516401329,30.318393930687,795.399961335431,397.699980667715,0,73.7525603655809,0,46.2205926022224,1,80.4330180963244,1.64,1.74,6.26343362079009,4.57955741126248,1.04960839316397,6.16891477641069,0.218733211794333,0,3738.39996133543,
72.0928951185629,0.296352517915047,5.8,8.77304708754326,3.25013149311226,1,14.3,17931.9509141995,16.1497552570816,30.3264869776524,796.691827708032,398.345913854016,0,73.6956104397124,0,45.7119208228314,1,80.4330180963244,1.64,1.74,6.4014895299742,4.63079185857943,1.07356474422334,6.27427583431058,0.22878658278769,0,3739.69182770803,
72.1512326357808,0.301346075177631,5.9,8.88613398110728,3.24515471471562,1,14.3,17946.461435569,16.1409794673359,30.334534376311,797.981714255831,398.990857127915,0,73.6386974779086,0,45.2032490434404,1,80.4330180963244,1.64,1.74,6.54098446127974,4.68316609139291,1.09833862843694,6.37951477196737,0.239084245736679,0,3740.98171425583,
72.209433766383,0.306335594924539,5.99999999999999,9.00177271896189,3.24018774208783,1,14.3,17960.9380329562,16.132224194409,30.3425363842073,799.269624889674,399.634812444837,0,73.5818215039274,0,44.6945772640494,1,80.4330180963244,1.64,1.74,6.68195100364575,4.73671909889964,1.1239674590929,6.48463074089292,0.24962830874523,0,3742.26962488967,
72.2674990158592,0.311321093095938,6.09999999999999,9.12005147664568,3.23523054489048,1,14.3,17975.3808320936,16.1234893622592,30.3504932571143,800.555563508235,400.277781754117,0,73.5249825413506,0,44.1859054846584,1,80.4330180963244,1.64,1.74,6.82442286457734,4.79149166643041,1.1504908159437,6.58962286952676,0.260420928859481,0,3743.55556350824,
72.325428886762,0.316302585535865,6.19999999999999,9.24106253718123,3.23028309294312,1,14.3,17989.789957983,16.114774895287,30.3584052490496,801.839533998083,400.919766999042,0,73.4681806135842,0,43.6772337052674,1,80.4330180963244,1.64,1.74,6.96843492190709,4.85806208560572,1.39942759691347,6.69449026233189,0.271464313723812,0,3744.83953399808,
72.3832238787309,0.321280087993039,6.29999999999999,9.36490253307618,3.22534535622202,1,14.3,18004.1655349018,16.1027750606267,30.3600401523412,803.121540233744,401.560770116872,0,73.4059575071231,0,43.1685619258764,1,80.4330180963244,1.64,1.74,7.11402327860828,4.90631370199504,1.01514715379704,6.79923199884469,0.282760723312077,0,3746.12154023374,
72.4408663585929,0.326253616121644,6.39999999999999,9.49166795463899,3.21940472590668,1,14.3,18018.503176881,16.0851124594836,30.350889969358,804.401183439455,402.200591719728,0,73.3343355522221,0,42.6598901464854,1,80.4330180963244,1.64,1.74,7.26216850521288,4.96145752179247,1.16107663538424,6.90384713267622,0.294312471738371,0,3747.40118343946,
72.4983257326207,0.331223186725866,6.49999999999999,9.54829782679973,3.21173366897724,1,14.3,18032.795274222,16.0675059649709,30.3417160666262,805.677775550178,402.838887775089,0,73.262750751442,0,42.474179282388,1,80.4330180963244,1.64,1.74,7.41083815655822,4.99630811814082,0.734378522014129,7.00839425594187,0.306130404406762,0,3748.67777555018,
72.5556028402315,0.336188818640287,6.59999999999999,9.61181202663538,3.20408518872697,1,14.3,18047.0420357162,16.0499553198775,30.3325188128098,806.951325561095,403.475662780548,0,73.1912032493127,0,42.2602088749911,1,80.4330180963244,1.64,1.74,7.56021233770772,5.02650412537727,0.636800821705969,7.11286735735128,0.318214598929489,0,3749.9513255611,
